# uTCA QIE11
# RM 1
#  i     cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
4200000   41   6   u   0      0        6           2          HE   22   4   1
4200000   41   6   u   0      0        7           0          HE   17   4   1
4200000   41   6   u   0      0        7           1          HE   17   4   2
4200000   41   6   u   0      0        7           2          HE   22   4   2
4200000   41   6   u   0      0        8           0          HE   24   4   1
4200000   41   6   u   0      0        8           1          HE   24   4   2
#4200000   41   6   u   0      0        8           2          HE         
4200000   41   6   u   0      0        9           0          HE   24   4   3
4200000   41   6   u   0      0        9           1          HE   21   4   2
4200000   41   6   u   0      0        9           2          HE   21   4   1
4200000   41   6   u   0      0       10           0          HE   18   4   2
4200000   41   6   u   0      0       10           1          HE   19   4   1
4200000   41   6   u   0      0       10           2          HE   20   4   2
4200000   41   6   u   0      0       11           0          HE   18   4   1
4200000   41   6   u   0      0       11           1          HE   19   4   2
4200000   41   6   u   0      0       11           2          HE   20   4   1
4200000   41   6   u   0      0       12           0          HE   16   1   3
#4200000   41   6   u   0      0       12           1          HE         
4200000   41   6   u   0      0       12           2          HE   23   1   1
4200000   41   6   u   0      0       13           0          HE   17   1   1
4200000   41   6   u   0      0       13           1          HE   17   1   2
4200000   41   6   u   0      0       13           2          HE   23   1   2
4200000   41   6   u   0      0       14           0          HE   25   1   1
4200000   41   6   u   0      0       14           1          HE   25   1   2
#4200000   41   6   u   0      0       14           2          HE         
4200000   41   6   u   0      0       15           0          HE   25   1   3
4200000   41   6   u   0      0       15           1          HE   21   1   2
4200000   41   6   u   0      0       15           2          HE   21   1   1
4200000   41   6   u   0      0       16           0          HE   18   1   2
4200000   41   6   u   0      0       16           1          HE   19   1   1
4200000   41   6   u   0      0       16           2          HE   20   1   2
4200000   41   6   u   0      0       17           0          HE   18   1   1
4200000   41   6   u   0      0       17           1          HE   19   1   2
4200000   41   6   u   0      0       17           2          HE   20   1   1
4200000   41   6   u   0      0       18           0          HE   16   2   3
#4200000   41   6   u   0      0       18           1          HE         
4200000   41   6   u   0      0       18           2          HE   22   2   1
4200000   41   6   u   0      0       19           0          HE   17   2   1
4200000   41   6   u   0      0       19           1          HE   17   2   2
4200000   41   6   u   0      0       19           2          HE   22   2   2
4200000   41   6   u   0      0       20           0          HE   24   2   1
4200000   41   6   u   0      0       20           1          HE   24   2   2
#4200000   41   6   u   0      0       20           2          HE         
4200000   41   6   u   0      0       21           0          HE   24   2   3
4200000   41   6   u   0      0       21           1          HE   21   2   2
4200000   41   6   u   0      0       21           2          HE   21   2   1
4200000   41   6   u   0      0       22           0          HE   18   2   2
4200000   41   6   u   0      0       22           1          HE   19   2   1
4200000   41   6   u   0      0       22           2          HE   20   2   2
4200000   41   6   u   0      0       23           0          HE   18   2   1
4200000   41   6   u   0      0       23           1          HE   19   2   2
4200000   41   6   u   0      0       23           2          HE   20   2   1

